tar_file,sample_id,slice_idx,ssim
Water-bilayer-K-1_val_0.tar,5,12,0.7303745115913313
Water-bilayer-K-1_val_0.tar,5,13,0.7140371683659917
Water-bilayer-K-1_val_0.tar,5,14,0.764973823366558
Water-bilayer-K-1_val_0.tar,6,0,0.7766728240072935
Water-bilayer-K-1_val_0.tar,6,1,0.9557023679918729
Water-bilayer-K-1_val_0.tar,6,2,0.8931380584135984
Water-bilayer-K-1_val_0.tar,6,3,0.2134463177356958
Water-bilayer-K-1_val_0.tar,6,4,0.19986675764921324
Water-bilayer-K-1_val_0.tar,6,5,0.1972653455247274
Water-bilayer-K-1_val_0.tar,6,6,0.21287062568870824
Water-bilayer-K-1_val_0.tar,6,7,0.26343106203151573
Water-bilayer-K-1_val_0.tar,6,8,0.28962075757881095
Water-bilayer-K-1_val_0.tar,6,9,0.5731591462185172
Water-bilayer-K-1_val_0.tar,6,10,0.8034063696502866
Water-bilayer-K-1_val_0.tar,6,11,0.9590721940216853
Water-bilayer-K-1_val_0.tar,6,12,0.9788343191694777
Water-bilayer-K-1_val_0.tar,6,13,0.975290870234331
Water-bilayer-K-1_val_0.tar,6,14,0.8902554407756771
Water-bilayer-K-1_val_0.tar,7,0,0.7859266727691723
Water-bilayer-K-1_val_0.tar,7,1,0.8084285016297703
Water-bilayer-K-1_val_0.tar,7,2,0.88683319040946
Water-bilayer-K-1_val_0.tar,7,3,0.9506083386852532
Water-bilayer-K-1_val_0.tar,7,4,0.9630092740536446
Water-bilayer-K-1_val_0.tar,7,5,0.9758981388984698
Water-bilayer-K-1_val_0.tar,7,6,0.9537648750257774
Water-bilayer-K-1_val_0.tar,7,7,0.885286589856769
Water-bilayer-K-1_val_0.tar,7,8,0.6683596855633196
Water-bilayer-K-1_val_0.tar,7,9,0.5833495413603421
Water-bilayer-K-1_val_0.tar,7,10,0.5535179341275751
Water-bilayer-K-1_val_0.tar,7,11,0.5317207487248157
Water-bilayer-K-1_val_0.tar,7,12,0.6854255489359492
Water-bilayer-K-1_val_0.tar,7,13,0.7820672154535891
Water-bilayer-K-1_val_0.tar,7,14,0.8588291617233729
Water-bilayer-K-1_val_0.tar,8,0,0.7702946606222651
Water-bilayer-K-1_val_0.tar,8,1,0.9362662333369056
Water-bilayer-K-1_val_0.tar,8,2,0.9203444393972873
Water-bilayer-K-1_val_0.tar,8,3,0.1917851695020274
Water-bilayer-K-1_val_0.tar,8,4,0.15977959879184767
Water-bilayer-K-1_val_0.tar,8,5,0.14981427112793683
Water-bilayer-K-1_val_0.tar,8,6,0.20903809116982913
Water-bilayer-K-1_val_0.tar,8,7,0.30743403523161694
Water-bilayer-K-1_val_0.tar,8,8,0.31153034321052003
Water-bilayer-K-1_val_0.tar,8,9,0.31363231467859987
Water-bilayer-K-1_val_0.tar,8,10,0.315726411325963
Water-bilayer-K-1_val_0.tar,8,11,0.3674443236643732
Water-bilayer-K-1_val_0.tar,8,12,0.4732509038561399
Water-bilayer-K-1_val_0.tar,8,13,0.6258806571319054
Water-bilayer-K-1_val_0.tar,8,14,0.360906579078808
Water-bilayer-K-1_val_0.tar,9,0,0.6577496093147832
Water-bilayer-K-1_val_0.tar,9,1,0.9577595384989237
Water-bilayer-K-1_val_0.tar,9,2,0.3053445500395675
Water-bilayer-K-1_val_0.tar,9,3,0.2082231206060431
Water-bilayer-K-1_val_0.tar,9,4,0.1788620426474572
Water-bilayer-K-1_val_0.tar,9,5,0.21880998794380463
Water-bilayer-K-1_val_0.tar,9,6,0.2838952828209268
Water-bilayer-K-1_val_0.tar,9,7,0.3785462466531217
Water-bilayer-K-1_val_0.tar,9,8,0.5166652937542333
Water-bilayer-K-1_val_0.tar,9,9,0.693951805326178
Water-bilayer-K-1_val_0.tar,9,10,0.7506385518472474
Water-bilayer-K-1_val_0.tar,9,11,0.40325123290912657
Water-bilayer-K-1_val_0.tar,9,12,0.3242229621095988
Water-bilayer-K-1_val_0.tar,9,13,0.3305017411518678
Water-bilayer-K-1_val_0.tar,9,14,0.45481012620921
