tar_file,sample_id,slice_idx,feature_dice,feature_distance
Water-bilayer-K-1_val_0.tar,0,0,0.46615867324069926,0.5338413267593007
Water-bilayer-K-1_val_0.tar,0,1,0.5018175809649703,0.4981824190350297
Water-bilayer-K-1_val_0.tar,0,2,0.673029804351801,0.32697019564819896
Water-bilayer-K-1_val_0.tar,0,3,0.647983933261239,0.35201606673876096
Water-bilayer-K-1_val_0.tar,0,4,0.6131283503590573,0.38687164964094267
Water-bilayer-K-1_val_0.tar,0,5,0.6345108053151747,0.3654891946848253
Water-bilayer-K-1_val_0.tar,0,6,0.5243206211463805,0.47567937885361955
Water-bilayer-K-1_val_0.tar,0,7,0.8023836366564664,0.1976163633435336
Water-bilayer-K-1_val_0.tar,0,8,0.7529861442904922,0.24701385570950785
Water-bilayer-K-1_val_0.tar,0,9,0.6598111435210362,0.3401888564789638
Water-bilayer-K-1_val_0.tar,0,10,0.6916035042819175,0.3083964957180825
Water-bilayer-K-1_val_0.tar,0,11,0.7212195721662159,0.2787804278337841
Water-bilayer-K-1_val_0.tar,0,12,0.6262772215914955,0.37372277840850454
Water-bilayer-K-1_val_0.tar,0,13,0.6139640923339983,0.3860359076660017
Water-bilayer-K-1_val_0.tar,0,14,0.6706629777641152,0.3293370222358848
Water-bilayer-K-1_val_0.tar,1,0,0.8746159473299194,0.12538405267008057
Water-bilayer-K-1_val_0.tar,1,1,0.8789937834321236,0.12100621656787636
Water-bilayer-K-1_val_0.tar,1,2,0.29260127217944415,0.7073987278205558
Water-bilayer-K-1_val_0.tar,1,3,0.0,1.0
Water-bilayer-K-1_val_0.tar,1,4,0.0,1.0
Water-bilayer-K-1_val_0.tar,1,5,0.0,1.0
Water-bilayer-K-1_val_0.tar,1,6,0.1183732752360203,0.8816267247639797
Water-bilayer-K-1_val_0.tar,1,7,0.29051844932274634,0.7094815506772536
Water-bilayer-K-1_val_0.tar,1,8,0.6151677473921622,0.3848322526078378
Water-bilayer-K-1_val_0.tar,1,9,0.3728083666564133,0.6271916333435867
Water-bilayer-K-1_val_0.tar,1,10,0.3343446601941747,0.6656553398058254
Water-bilayer-K-1_val_0.tar,1,11,0.12242240069459516,0.8775775993054048
Water-bilayer-K-1_val_0.tar,1,12,0.27508914926133465,0.7249108507386653
Water-bilayer-K-1_val_0.tar,1,13,0.6229209387104123,0.3770790612895877
Water-bilayer-K-1_val_0.tar,1,14,0.7080677966101694,0.2919322033898306
Water-bilayer-K-1_val_0.tar,2,0,0.7396070320579109,0.2603929679420891
Water-bilayer-K-1_val_0.tar,2,1,0.8073238753486114,0.19267612465138861
Water-bilayer-K-1_val_0.tar,2,2,0.6867599569429492,0.3132400430570508
Water-bilayer-K-1_val_0.tar,2,3,0.7834513604174429,0.2165486395825571
Water-bilayer-K-1_val_0.tar,2,4,0.7072144936913618,0.2927855063086382
Water-bilayer-K-1_val_0.tar,2,5,0.4505856515373352,0.5494143484626648
Water-bilayer-K-1_val_0.tar,2,6,0.4699167657550534,0.5300832342449466
Water-bilayer-K-1_val_0.tar,2,7,0.572109654350417,0.42789034564958295
Water-bilayer-K-1_val_0.tar,2,8,0.6068888056907524,0.39311119430924757
