tar_file,sample_id,slice_idx,gssim
Water-bilayer-K-1_val_0.tar,5,12,0.05442900892741802
Water-bilayer-K-1_val_0.tar,5,13,0.05708970899054719
Water-bilayer-K-1_val_0.tar,5,14,0.06971669466619754
Water-bilayer-K-1_val_0.tar,6,0,0.06343970042897011
Water-bilayer-K-1_val_0.tar,6,1,0.3326795615708712
Water-bilayer-K-1_val_0.tar,6,2,0.41689470230342773
Water-bilayer-K-1_val_0.tar,6,3,0.006589692177276526
Water-bilayer-K-1_val_0.tar,6,4,0.00794604205920614
Water-bilayer-K-1_val_0.tar,6,5,0.006964523647746526
Water-bilayer-K-1_val_0.tar,6,6,0.011198891440889033
Water-bilayer-K-1_val_0.tar,6,7,0.00875265312458156
Water-bilayer-K-1_val_0.tar,6,8,0.007832554663613956
Water-bilayer-K-1_val_0.tar,6,9,0.02773319858569624
Water-bilayer-K-1_val_0.tar,6,10,0.1552472026366092
Water-bilayer-K-1_val_0.tar,6,11,0.5410870351092005
Water-bilayer-K-1_val_0.tar,6,12,0.5945101473202883
Water-bilayer-K-1_val_0.tar,6,13,0.5738162766575228
Water-bilayer-K-1_val_0.tar,6,14,0.4881053509417713
Water-bilayer-K-1_val_0.tar,7,0,0.035402091272107195
Water-bilayer-K-1_val_0.tar,7,1,0.03816180816452991
Water-bilayer-K-1_val_0.tar,7,2,0.07954487780698276
Water-bilayer-K-1_val_0.tar,7,3,0.16133968287765718
Water-bilayer-K-1_val_0.tar,7,4,0.28788343315879744
Water-bilayer-K-1_val_0.tar,7,5,0.46463790473728067
Water-bilayer-K-1_val_0.tar,7,6,0.4129895407916248
Water-bilayer-K-1_val_0.tar,7,7,0.26010945632516225
Water-bilayer-K-1_val_0.tar,7,8,0.11024900860847688
Water-bilayer-K-1_val_0.tar,7,9,0.08968783328391794
Water-bilayer-K-1_val_0.tar,7,10,0.07939362238763187
Water-bilayer-K-1_val_0.tar,7,11,0.09180939831178972
Water-bilayer-K-1_val_0.tar,7,12,0.05949848709892589
Water-bilayer-K-1_val_0.tar,7,13,0.07019110221226277
Water-bilayer-K-1_val_0.tar,7,14,0.06830744829775953
Water-bilayer-K-1_val_0.tar,8,0,0.08080091728515851
Water-bilayer-K-1_val_0.tar,8,1,0.26754260054590034
Water-bilayer-K-1_val_0.tar,8,2,0.5273934203171962
Water-bilayer-K-1_val_0.tar,8,3,0.01008746004297002
Water-bilayer-K-1_val_0.tar,8,4,0.007733431659896162
Water-bilayer-K-1_val_0.tar,8,5,0.007514749268609287
Water-bilayer-K-1_val_0.tar,8,6,0.008965252552416626
Water-bilayer-K-1_val_0.tar,8,7,0.011931526725565782
Water-bilayer-K-1_val_0.tar,8,8,0.025316108821990504
Water-bilayer-K-1_val_0.tar,8,9,0.023277294514409477
Water-bilayer-K-1_val_0.tar,8,10,0.019992892457235942
Water-bilayer-K-1_val_0.tar,8,11,0.05402910283739629
Water-bilayer-K-1_val_0.tar,8,12,0.14698460365041088
Water-bilayer-K-1_val_0.tar,8,13,0.17635471746298959
Water-bilayer-K-1_val_0.tar,8,14,0.04882098262868706
Water-bilayer-K-1_val_0.tar,9,0,0.04251006281694175
Water-bilayer-K-1_val_0.tar,9,1,0.4292426561718127
Water-bilayer-K-1_val_0.tar,9,2,0.015420521041432224
Water-bilayer-K-1_val_0.tar,9,3,0.007416265609115893
Water-bilayer-K-1_val_0.tar,9,4,0.004558882157784221
Water-bilayer-K-1_val_0.tar,9,5,0.004360782699274608
Water-bilayer-K-1_val_0.tar,9,6,0.02257138842360455
Water-bilayer-K-1_val_0.tar,9,7,0.013521826197338748
Water-bilayer-K-1_val_0.tar,9,8,0.032249954637467354
Water-bilayer-K-1_val_0.tar,9,9,0.14193844852413934
Water-bilayer-K-1_val_0.tar,9,10,0.2494545990588134
Water-bilayer-K-1_val_0.tar,9,11,0.019509500863776463
Water-bilayer-K-1_val_0.tar,9,12,0.0093480430305144
Water-bilayer-K-1_val_0.tar,9,13,0.013418554387305187
Water-bilayer-K-1_val_0.tar,9,14,0.03352440079538198
Water-bilayer-K-1_val_0.tar,10,0,0.13885795698538486
Water-bilayer-K-1_val_0.tar,10,1,0.19624100095375813
Water-bilayer-K-1_val_0.tar,10,2,0.20925619799012568
Water-bilayer-K-1_val_0.tar,10,3,0.2890781565703316
Water-bilayer-K-1_val_0.tar,10,4,0.47016428111041686
Water-bilayer-K-1_val_0.tar,10,5,0.01746326834945197
Water-bilayer-K-1_val_0.tar,10,6,0.009228863499479377
Water-bilayer-K-1_val_0.tar,10,7,0.00864163590596453
Water-bilayer-K-1_val_0.tar,10,8,0.017834750871370625
Water-bilayer-K-1_val_0.tar,10,9,0.035640087214856134
Water-bilayer-K-1_val_0.tar,10,10,0.07301321931866833
Water-bilayer-K-1_val_0.tar,10,11,0.09961527349663615
Water-bilayer-K-1_val_0.tar,10,12,0.07822273323166082
Water-bilayer-K-1_val_0.tar,10,13,0.055753247855211435
Water-bilayer-K-1_val_0.tar,10,14,0.047492382122994926
Water-bilayer-K-1_val_0.tar,11,0,0.07206286944083443
Water-bilayer-K-1_val_0.tar,11,1,0.11521546979411262
Water-bilayer-K-1_val_0.tar,11,2,0.1909047288455948
Water-bilayer-K-1_val_0.tar,11,3,0.30027131824142866
Water-bilayer-K-1_val_0.tar,11,4,0.24948658675813562
Water-bilayer-K-1_val_0.tar,11,5,0.40794502718175685
Water-bilayer-K-1_val_0.tar,11,6,0.5788443575342803
Water-bilayer-K-1_val_0.tar,11,7,0.570159151602624
Water-bilayer-K-1_val_0.tar,11,8,0.5134133160369639
Water-bilayer-K-1_val_0.tar,11,9,0.4524958168118003
Water-bilayer-K-1_val_0.tar,11,10,0.314242513784294
Water-bilayer-K-1_val_0.tar,11,11,0.26356167688754406
Water-bilayer-K-1_val_0.tar,11,12,0.25639050109158046
Water-bilayer-K-1_val_0.tar,11,13,0.26447376385788357
Water-bilayer-K-1_val_0.tar,11,14,0.2808447415612356
Water-bilayer-K-1_val_0.tar,12,0,0.08530383881024248
Water-bilayer-K-1_val_0.tar,12,1,0.16020296005356804
Water-bilayer-K-1_val_0.tar,12,2,0.24913174242367536
Water-bilayer-K-1_val_0.tar,12,3,0.21421495385663103
Water-bilayer-K-1_val_0.tar,12,4,0.3414050321312123
Water-bilayer-K-1_val_0.tar,12,5,0.34535336554998564
Water-bilayer-K-1_val_0.tar,12,6,0.00848044187023313
Water-bilayer-K-1_val_0.tar,12,7,0.004947501916918999
Water-bilayer-K-1_val_0.tar,12,8,0.0064324198442542255
Water-bilayer-K-1_val_0.tar,12,9,0.01945521065915143
Water-bilayer-K-1_val_0.tar,12,10,0.07619941945943995
Water-bilayer-K-1_val_0.tar,12,11,0.13043280326593232
Water-bilayer-K-1_val_0.tar,12,12,0.11305415392359669
Water-bilayer-K-1_val_0.tar,12,13,0.07945760310673347
Water-bilayer-K-1_val_0.tar,12,14,0.07621267517987526
Water-bilayer-K-1_val_0.tar,13,0,0.03270700748533942
