MMD score,latex category,number of model replicas,$d_{\mathrm{OO}}$,$d_{\mathrm{OH}}$,$\theta_{\mathrm{HOH}}$,$\theta_{\mathrm{ZOH}}$,"$(d_{\mathrm{O_d}\mathrm{O_a}}, \theta_{\mathrm{O_d}\mathrm{H}\mathrm{O_a}})$","$(S_k, S_g)$"
Pure,$F_{\mathcal{U}}(\mathcal{V})$,11,0.134016 +/- 0.018592,0.693685 +/- 0.061712,0.299984 +/- 0.065944,0.446540 +/- 0.035260,0.196940 +/- 0.052068,0.480083 +/- 0.079647
Handcrafted,$F_{\overline{\mathcal{V}}}(\mathcal{V})$,11,0.149388 +/- 0.027545,0.760671 +/- 0.036710,0.615092 +/- 0.072449,0.471537 +/- 0.039159,0.289909 +/- 0.031952,0.384053 +/- 0.038761
Style translated (L20L1),$F_{\widetilde{\mathcal{V}}}(\mathcal{V})$,11,0.331504 +/- 0.036543,0.727202 +/- 0.038545,0.424245 +/- 0.060947,0.589496 +/- 0.043429,0.704940 +/- 0.040222,0.437882 +/- 0.050752
Style translated (L10L10),$F_{\widetilde{\mathcal{V}}}(\mathcal{V})$,11,0.300993 +/- 0.040128,0.719908 +/- 0.031362,0.495177 +/- 0.063986,0.454049 +/- 0.068748,0.640641 +/- 0.045170,0.425757 +/- 0.078091
Hybrid (L20L1),$F_{\mathcal{V}^{\dagger}}(\mathcal{V})$,10,0.397052 +/- 0.013552,0.826062 +/- 0.035707,0.608789 +/- 0.060362,0.493610 +/- 0.042111,0.837969 +/- 0.025832,0.403592 +/- 0.054114
Hybrid (L10L10),$F_{\mathcal{V}^{\dagger}}(\mathcal{V})$,11,0.377345 +/- 0.024576,0.825804 +/- 0.035850,0.672892 +/- 0.063560,0.515562 +/- 0.029586,0.799642 +/- 0.033428,0.472028 +/- 0.057574
